id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
41,花心蘿蔔,植物、糧菜、果品,faa sam lo baak,花1心1蘿4蔔9,空心蘿蔔,糠蘿蔔,"也作""""花心蘿卜"""",肉質鬆的蘿卜。"
42,花面貓,稱謂,faa min maau,花1面6貓1,(沒有對應詞彙),,1.比喻臉上有污痕的人。2.臉上很骯的孩子
43,花生腳,植物、糧菜、果品,faa sang goek,花1生1腳8,癟子(口),,乾癟的帶瞉花生
44,花笭仔,稱謂,faa leng zai,花1笭1仔2,(沒有對應詞彙),,調皮搗蛋、不聽大人話的小伙子
45,花笭女,稱謂,faa leng neoi,花1笭1女5*2,(沒有對應詞彙),,輕浮、調皮、不聽話的女孩子
46,花筒,文化、娛樂,faa tung,花1筒4,(沒有對應詞彙),,煙花的一種
47,化學,形容詞,faa hok,化3學9,不耐用,不結實,
48,打孖,副詞,daa maa,打2孖1,成對,成雙,
49,打牙骹,動詞,daa ngaa gaau,打2牙4骹3,閑聊,,
50,打個突兀,副詞,daa go dat ngat,打2個3突9兀9,一怔,,"今多言""""打突"""""
51,打個框,動詞,daa go gwaak,打2個3框1,繞彎兒,,
52,打河,動詞,daa ho,打2河4*2,燒鴉片煙泡,,
53,打荷包,動詞,daa ho baau,打2荷4包1,偷錢包,,扒手掏人家的錢包
54,打思肊,動詞,daa si jik,打2思1肊7,打冷嗝兒,,
55,打斧頭,動詞,daa fu tau,打2斧2頭4,(沒有對應詞彙),,"1.替人買東西時虛報價錢,從中得利。2.經手賣東西時暗中克扣錢款"
56,打鼓趁興,動詞,daa gu can hing,打2鼓2趁3興3,順勢,乘興,
57,打鼓邊,動詞,daa gu bin,打2鼓2邊1,助勢,打邊鼓,
58,打敗仗,形容詞,daa baai zoeng,打2敗6仗3,(不是粵方言詞),,非粵方言詞
59,打齋,動詞,daa zaai,打2齋1,做法事,,"辦喪事時,請和尚、道士做法事,超度亡魂"
60,打晒色,動詞,daa saai sik,打2晒3色7,當頭兒,做主,
61,打低,動詞,daa dai,打2低1,打倒,打敗,
62,打仔,稱謂,daa zai,打2仔2,打手,,
63,打包,動詞,daa baau zaang,打2包11,(沒有對應詞彙),,1.用手肘拱人。2.用胳膊肘撞擊人。
64,打飽□,動詞,daa baau jik,打2飽2□6,打飽嗝,,
65,打交,動詞,daa gaau,打2交1,打架,,
66,打交叉,動詞,daa gaau caa,打2交1叉1,打叉兒,,
67,打倒椗,動詞,daa dou deng,打2倒3椗3,將物品倒過來,頭朝下,
68,打對臺,動詞,daa deoi toi,打2對3臺4,唱對臺戲,,
69,打探,動詞,daa taam,打2探3,(不是粵方言詞),,非粵方言詞
70,打喊路,動詞,daa haam lou,打2喊3路6,打哈欠,打呵欠,
71,打沉,動詞,daa cam,打2沉4,打倒,打敗,
72,打掂,動詞,daa dim,打2掂6,直著,豎,與「打橫」(橫)相對
73,打櫼,動詞,daa zim,打2攕1,將楔子打入,加塞兒,
74,打爛齋,動詞,daa laan zaai bud,打2爛6齋18,開齋,破了齋戒,
75,打關斗,動詞,daa gwaan dau,打2關1斗2,翻跟頭,翻筋斗,
76,打邊爐,動詞,daa bin lou,打2邊1爐4,吃火鍋兒,圍爐,
77,打線刀,動詞,daa sin dou,打2線3刀1,絞臉,,
78,打,動詞,daa hin,打23,勾芡,,
79,打亂種,稱謂,daa lyun zung,打2亂6種2,混血兒(的舊稱),雜種,
80,打旋風,動詞,daa syun fung,打2旋6風1,颳旋風,,
81,打冷震,動詞,daa laang zan,打2冷5震3,打冷顫,打哆嗦,
82,打,動詞,daa zaang,打21,修鞋時釘後掌,,
83,打,動詞,daa gwaang gwaang,打211,(沒有對應詞彙),,形容響聲。喻器物內空無一物
84,打橫,動詞,daa waang,打2橫4,橫著,,普通話有多種詮釋
85,打橫打掂,動詞,daa waang daa dim,打2橫4打2掂6,橫七八,橫七八地亂放,
86,打醒精神,動詞,daa sing zing san,打2醒2精1神4,提高注意力,提高警惕,
87,打雙,副詞,daa soeng,打2雙1,成對,成雙,
88,打杠,動詞,daa gong,打2杠3,打杠子,,"改卷時,用紅筆在旁畫一杠,表示有錯。"
89,打杠架,文化、娛樂,daa gong gaa,打2杠3架3*2,盤杠子,玩單杠,
90,打仰,動詞,daa ngung fan,打2仰53,仰面睡覺,仰睡,
91,打風,動詞,daa fung,打2風1,颳大風,刮颱風,
92,打風球,動詞,daa fung kau,打2風1球4,颳颱風,,
93,打工,動詞,daa gung,打2工1,做工人,,
94,打工妹,稱謂,daa gung mui,打2工1妹6*1,(沒有對應詞彙),,1.出外做工的女子。2.受僱工作的女青年
95,打功夫,動詞,daa gung fu,打2功1夫1,打拳,練武功,
96,打褶,動詞,daa zaap,打2褶8,打褶子,,
97,打嗐嗤,動詞,daa haat ci,打2嗐1嗤1,打噴嚏,,
98,打躓,動詞,daa zat,打2躓9,一愣,,
99,打出,動詞,daa ceot,打2出7,裸露出,,
100,打綟,動詞,daa lit,打2綟3,打結,打結兒,
101,打得埋,動詞,daa dak maai,打2得7埋4,合得來,打成一片,
102,打赤肋,動詞,daa cek laak,打2赤8肋9,光著膀子,,
103,打剔,動詞,daa tik,打2剔7,打勾兒,,打勾兒(表示正確)
104,打色,動詞,daa sik,打2色7,(引申為)做主,(引申為)拿主意,引申作做主、拿主意。
105,他佻,形容詞,taa tiu,他1佻4,心情愉快,悠然自得,"也作""""他條"""""
106,挐,介詞,naa,挐1,同,和,"(書面語有此詞,惟詞義不同)"
107,挐挐,副詞,naa naa lang lang,挐1挐133,藕斷絲連,瓜葛,
108,挐,副詞,naa lang,挐13,瓜葛,牽連,
109,,形容詞,naa,2,雌性的,母親,
110,喇喇聲,副詞,laa laa seng,喇4喇4*2聲1,(沒有對應詞彙),,形容迅速、快捷的樣子
111,剌,副詞,laa,剌2,齁兒,,剌激口腔。
112,剌,其他,laa lei,剌26,(沒有對應詞彙),,舌頭受到剌激
113,剌喉剌,其他,laa hau laa lei,剌2喉4剌26,(沒有對應詞彙),,嗓子、舌頭受到剌激
114,,動詞,laa,8,(手)抓,撩,
115,埋,其他,laa maai,2埋4,任何時候,無論何時,
116,篩,形容詞,laa sai,8篩1,(做事)馬馬虎虎,(做事)敷衍塞責,"「篩」,做工很差、偷工減料"
117,剌,形容詞,laa zaa,剌52,髒,不乾淨,
118,罅,其他,laa,罅3,縫隙,裂縫,
119,,動詞,zaa,1,拿,握,
120,拿,其他,zaa naa,1拿4,把握,,
121,車,動詞,zaa ce,1車1,駕駛車輛,開車,
122,大葵扇,動詞,daa daai gwai sin,1大6葵4扇3,比喻做媒人,,
123,手,動詞,zaa sau,1手2,舊時指握手,,
124,水,動詞,zaa seoi,1水2,輕輕洗,涮一涮,
125,頸,動詞,zaa geng,1頸2,忍氣,受氣而不能發泄,
126,黃腳雞,動詞,zaa wong goek gai,1黃4腳8雞1,捉奸,,
127,渣野,商業、交通,zaa je,渣1野5,次貨,劣等貨,
128,渣斗,形容詞,zaa dau,渣1*2斗2,次,差,
129,皻鼻,人體,zaa bei,皻1鼻6,酒糟鼻子,,
130,苴,形容詞,zaa,苴2,次,差,"也作""""苲"""""
131,苴斗,形容詞,zaa dau,苴2斗2,劣,差,"也作""""渣斗"""""
132,詐假意,動詞,zaa gaa ji,詐3假2*1意3*1,假裝,佯做,
133,詐呆詐吽,動詞,zaa ngoi zaa ngau,詐3呆4詐3吽6,裝傻裝愚笨,,
134,詐嬌,動詞,zaa giu,詐3嬌1,撒嬌,,
135,詐嬌弄嗲,動詞,zaa giu lung de,詐3嬌1弄6嗲2,撒嬌,,
136,詐癲賣戇,動詞,zaa din maai ngung,詐3癲1賣6戇6,裝瘋賣傻,,
137,詐癲納福,動詞,zaa din naap fuk,詐3癲1納9福7,(沒有對應詞彙),,不願勞動而裝傻以佔得某種便宜
138,柵,動詞,zaa,柵6,攔擋,阻斷,
139,柵亂,動詞,zaa lyun,柵6亂6,打斷(別人的話),,
140,秺,數量詞,zaa,秺6,把,束,(量詞)
141,叉燒,飲食,caa siu,叉1燒1,烤肉,烤肉條,
142,差一皮,副詞,caa jat pei,差1一7皮4,差少許,差一點兒,
143,蹅,動詞,caa,蹅1,(沒有對應詞彙),,失足踩入泥水等
144,茶,飲食,caa,茶4,茶水,,詞義與普通話相同
145,茶果,飲食,caa gwo,茶4果2,小食品,小食,"待客喝茶時吃的小食品,泛指各種點心"
146,茶樓,飲食,caa lau,茶4樓4,酒樓,飯館,賣茶及各種點心小吃的處所。詞義與普通話相同。
147,茶盅,家具、日常用品,caa zung,茶4盅1,(沒有對應詞彙),,"有蓋的茶碗,底下有碟子托著"
148,茶腳,飲食,caa goek,茶4腳8,(沒有對應詞彙),,喝剩下的茶或隔夜的剩茶水
149,查,動詞,zaa laa,查42,審問,查問,
150,岔亂,動詞,caa lyun,岔5亂6,打斷(別人的話),打岔,
151,岔亂歌柄,動詞,caa lyun go beng,岔5亂6歌1柄3,打斷別人(唱歌或說話),,
152,奓,動詞,caa,奓3,(不是粵方言詞),,不是粵方言詞。
153,奓鼻,人體,caa bei,奓3鼻6,鼻翅寬,鼻孔大,
154,奓腳,人體,caa goek,奓3腳8,腿向外撇開,,
155,奓膊,人體,caa bok,奓3膊8,寬肩膀,,
156,沙河粉,飲食,saa ho fan,沙1河4粉2,湯粉,寬米粉條,"米漿蒸製的食品,簡稱""""河粉"""""
157,沙煲兄弟,稱謂,saa bou hing dai,沙1煲1兄1弟6,(沒有對應詞彙),,"喻關係不牢固的""""哥們兒"""""
158,沙膽,形容詞,saa daam,沙1膽2,大膽,膽大包天,
159,沙塵,形容詞,saa can,沙1塵4,浮誇輕佻,盲目自大,"同""""沙塵白霍"""""
160,沙塵白攉,形容詞,saa can baak fok,沙1塵4白9攉8,浮誇,驕傲自大,"同""""沙塵"""",也作""""沙塵白霍"""""
161,沙盆,家具、日常用品,saa pun,沙1盆4,瓦盆的一種,,
162,沙井,房屋,saa zeng,沙1井2,滲井,滲坑,
163,沙蟲,動物,saa cung,沙1蟲4*2,(沒有對應詞彙),,一種海產動物
164,耍把戲,動詞,saa baa hei,耍2把2戲3,魔術,,"普通話有,但詞義不盡相同。"
165,耍花槍,動詞,saa faa coeng,耍2花1槍1,(沒有對應詞彙),,"夫妻之間開玩笑。普通話有,但詞義不盡相同。"
166,耍功夫,動詞,saa gung fu,耍2功1夫1,打拳,練武功,
167,耍得,形容詞,saa dak,耍2得7,有本事,有一手,
168,灑灰水,動詞,saa fui seoi,灑2灰1水2,抹石灰漿,,
169,加把嘴,動詞,gaa baa zeoi,加1把2嘴2,插嘴,答茬兒,
170,家,其他,gaa,家1,專家,精於某種事人,詞義與普通話相同
171,家,其他,gaa,家1,家庭,人家,詞義與普通話相同
172,家下,時間、節令,gaa haa,家1下5,現在,這會兒,
173,家姐,稱謂,gaa ze,家1姐2*1,姐姐,,姐姐(背稱)
174,家婆,稱謂,gaa po,家1婆4*2,婆婆,,夫之母(背稱)
175,家持,稱謂,gaa ci,家1持4*2,尼姑庵的庵主,,
176,家俬,家具、日常用品,gaa si,家1俬1,家具,,家具的總稱
177,家頭細務,其他,gaa tau sai mou,家1頭4細3務6,家務事,家務,泛指一切家務事
178,家嫂,稱謂,gaa sou,家1嫂2,兒媳婦,兒媳,1.舊時面稱兒媳婦。2.公婆對兒媳的稱呼
179,家欄雞,動物,gaa laan gai,家1欄4*2雞1,自家養的雞,,
180,家山發,形容詞,gaa saan faat,家1山1發8,(沒有對應詞彙),,舊指因祖墳風水好而走好運
181,家陣,時間、節令,gaa zan,家1陣6,現在,這會兒,
182,家公,稱謂,gaa gung,家1公1,公公,,1.夫之父(背稱)。2.丈夫的父親
183,家用,其他,gaa jung,家1用6*2,質量佳的,上好的,
184,嘉魚,動物,gaa jyu,嘉1魚4*2,一種淡水魚,,
185,假使間,副詞,gaa si gaan,假2使2間1,假如,,
186,假石山,房屋,gaa sek saan,假2石9山1,園林中的假山,假山,
187,架勢,形容詞,gaa sai,架3勢3,體面,有氣派,
188,架步,商業、交通,gaa bou,架3步6,(黑話)手段,辦法,
189,架生,工具、材料,gaa caang,架3生1,(沒有對應詞彙),,家具、器物的統稱
190,卡,商業、交通,kaa,卡1,火卡車,,大的載貨汽車。
191,卡口,其他,kaa hau,卡1口2,關卡,,指官方收稅的關卡 / 舊指土匪惡設的勒索過客的關卡
192,牙齒當金使,其他,ngaa ci dong gam sai,牙4齒2當3金1使2,一諾千金,(喻)講信用,
193,牙屎,稱謂,ngaa si,牙4屎2,牙垢,,
194,牙骹,人體,ngaa gaau,牙4骹3,牙床骨,牙床,
195,牙煙,形容詞,ngaa jin,牙4煙1,危險,很懸,
196,牙譫譫,動詞,ngaa zaap zaap,牙4譫3譫3,喋喋不休,亂說一氣,
197,牙擦,形容詞,ngaa caat,牙4擦3,自視甚高,看不起人,
198,牙力,其他,ngaa lik,牙4力9,權威,威信,使人遵從的能力
199,瓦煲,家具、日常用品,ngaa bou,瓦5煲1,沙鍋,,沙鍋的統稱
200,瓦鐺,家具、日常用品,ngaa caang,瓦5鐺1,扁沙鍋,,
201,瓦桁,房屋,ngaa haang,瓦5桁1,(沒有對應詞彙),,"屋頂上的瓦壟溝,排水用。也作""""瓦坑"""""
202,枒,動詞,ngaa,枒6,(沒有對應詞彙),,佔據空間/時間
203,枒手枒腳,動詞,ngaa sau ngaa goek,枒6手2枒6腳8,礙手礙腳,,
204,枒碇,形容詞,ngaa deng,枒6碇6,(沒有對應詞彙),,佔據空間太大
205,,形容詞,ngaa zaa,66,霸道,,
206,蝦膠,飲食,haa gaau,蝦1膠1,(不是粵方言詞),,鮮蝦肉做成泥狀
207,蝦,動物,haa lat,蝦18,(不是粵方言詞),,
208,謑,動詞,haa,謑1,欺負,,
209,謑霸,動詞,haa baa,謑1霸3,欺負,,
210,霞霧,形容詞,haa mou,霞4霧6,浮躁,魯莽,
211,下水船,商業、交通,haa seoi syun,下5水2船4,(不是粵方言詞),,往下游行駛的船。非粵方言詞
212,下晝,時間、節令,haa zau,下6晝3,下午,,
213,下啖氣,動詞,haa daam hei,下6*2啖6氣3,出氣,消氣,
214,啞,其他,aa,啞2,(沒有對應詞彙),,啞--喪失說話能力
215,阿爸,稱謂,aa baa,阿3爸1*4,父親,,"父親(面稱,背稱均可)"
216,阿媽,稱謂,aa maa,阿3媽1,母親,,"母親(面稱,背稱均可)"
217,阿,稱謂,aa maa,阿34,祖母,,"祖母(面稱,背稱均可)"
218,阿叉,稱謂,aa caa,阿3叉1,印度男人,,
219,阿家,稱謂,aa gaa,阿3家1,姐姐,,姐姐(面稱)
220,阿啞,稱謂,aa ngaa,阿3啞2,啞人,啞巴,
221,阿瓜,稱謂,aa gwaa,阿3瓜1,闊少爺,,
222,阿爹,稱謂,aa de,阿3爹1,父親,,
223,阿姐,稱謂,aa ze,阿3姐2,庶母,,父親之妾
224,阿姐,稱謂,aa ze,阿3姐2*1,姐姐,,姐姐(面稱)
225,阿爺,稱謂,aa je,阿3爺4,祖父,,"祖父(面稱,背稱均可)"
226,阿婆,稱謂,aa p,阿3婆4,外祖母,,"外祖母(面稱,背稱均可)"
227,阿婆髻,稱謂,aa po gai,阿3婆4髻3,(沒有對應詞彙),,舊老太婆梳的小髻
228,阿傻,稱謂,aa so,阿3傻4,傻瓜,傻子,
229,阿哥,稱謂,aa go,阿3哥1,兄,,"兄(面稱,背稱均可)"
230,阿姨,稱謂,aa ji,阿3姨4*1,姨姨,,"母親的妹妹(面稱,背稱均可)"
231,阿姑,稱謂,aa gu,阿3姑1,小女孩子,,小女孩子的舊稱
232,阿大,稱謂,aa daai,阿3大6,(沒有對應詞彙),,父親的正妻
233,阿大,稱謂,aa daai,阿3大6,老大,,阿大--排行最大者
234,阿奶,稱謂,aa naai,阿3奶5*1,(沒有對應詞彙),,舊時有功名的人家面稱母親
235,阿跛,稱謂,aa bai,阿3跛1,瘸子,跛子,
236,阿仔,稱謂,aa zai,阿3仔2,(沒有對應詞彙),,父母對年幼兒子的戲稱
237,阿肥,稱謂,aa fei,阿3肥4*2,胖子,肥胖者,
238,阿妹,稱謂,aa mui,阿3妹6*2,妹妹,,"妹妹(面稱,背稱均可)"
239,阿斗官,稱謂,aa dau gun,阿3斗2官1,闊少爺,敗家子,
240,阿頭,稱謂,aa tau,阿3頭4*2,領頭者,頭目,
241,阿壽,稱謂,aa sau,阿3壽6,笨人,,不機靈、不敏捷的人
242,阿舅,稱謂,aa kau,阿3舅5,(沒有對應詞彙),,妻之兄弟的統稱
243,阿母,稱謂,aa mou,阿3母5*2,(沒有對應詞彙),,夫之嫂(背稱)
244,阿嫂,稱謂,aa sou,阿3嫂2,嫂子,,"兄之妻(面稱,背稱均可)"
245,阿女,稱謂,aa neoi,阿3女5*2,(沒有對應詞彙),,父母對年幼女兒的戲稱
246,阿嬸,稱謂,aa sam,阿3嬸2,叔父之妻,,"叔父之妻(面稱,背稱均可)"
247,阿妗,稱謂,aa kam,阿3妗5,(沒有對應詞彙),,女性稱弟妻(背稱)
248,阿崩,稱謂,aa bang,阿3崩1,缺唇的人,豁唇的人,
249,阿聲,稱謂,aa seng,阿3聲1,先生,,
250,阿丁,稱謂,aa ding,阿3丁1,愚人,,無知識也無本事的人
251,阿公,稱謂,aa gung,阿3公1,外祖父,老爺,阿公--(面稱)外祖父
252,阿乜人,稱謂,aa mat jan,阿3乜7人4,某某,,
253,阿伯,稱謂,aa baak,阿3伯8,伯伯,,父之兄(背稱)
254,阿督,稱謂,aa duk,阿3督7,(沒有對應詞彙),,舊時指店鋪中的總管
255,阿叔,稱謂,aa suk,阿3叔7,叔叔,,"父之弟(面稱,背稱均可)"
256,呀呀烏,形容詞,jaa jaa wu,呀4(1)呀4(1)烏1,最差,最次,
257,瓜子口面,人體,gwaa zi hau min,瓜1子2口2面6,瓜子兒臉,,瓜子兒形的臉
258,瓜子肉,植物、糧菜、果品,gwaa zi juk,瓜1子2肉9,指紅皮瓜子仁,,
259,瓜仁,植物、糧菜、果品,gwaa jan,瓜1仁4,大的白瓜子,,
260,瓜,動詞,gwaa,瓜1,死,,
261,瓜老襯,動詞,gwaa lou can,瓜1老5襯3,死了,死,"同""""瓜"""""
262,瓜得,動詞,gwaa dak,瓜1得7,死,,
263,瓜直,動詞,gwaa zik,瓜1直9,伸腿兒了,蹬腿兒了,瓜直---(喻)死去
264,呱呱叫,動詞,gwaa gwaa giu,呱1呱1叫3,瞎嚷嚷(口),,口出大言卻不會做
265,寡婆,稱謂,gwaa po,寡2婆4*2,寡婦,,
266,寡仔,稱謂,gwaa zai,寡2仔2,單身漢,,
267,寡母婆,稱謂,gwaa mou po,寡2母5婆4*2,寡婦,,
268,寡佬,稱謂,gwaa lou,寡2佬2,(沒有對應詞彙),,結過婚又失去妻子的人
269,寡淡,形容詞,gwaa taam,寡2淡5,淡而無味,,
270,寡公,人體,gwaa gung,寡2公1,(沒有對應詞彙),,結過婚又失去妻子的人
271,寡瀎瀎,形容詞,gwaa med med,寡2瀎6瀎6,淡而無味,,
272,掛意,動詞,gwaa ji,掛3意3,掛念,掛心,
273,掛住,動詞,gwaa zyu,掛3住6,掛念,掂念,"同""""掛望"""""
274,掛爐鴨,飲食,gwaa lou aap,掛3爐4鴨8*2,(沒有對應詞彙),,明爐燒烤的脆皮鴨子
275,掛單,動詞,gwaa daan,掛3單1,到別人家寄食,,(古)
276,掛望,動詞,gwaa mong,掛3望6,掛念,惦念,"同""""掛住"""""
277,掛廊,房屋,gwaa long,掛3廊4*2,(沒有對應詞彙),,老式房屋天井旁的走廊
278,挖,動詞,waa,挖2,(不是粵方言詞),,"用手指甲抓取。「挖」非粵方言詞,惟粵語使用範圍稍寬泛,如""""挖荷包""""。"
279,話,其他,waa,話6,言語,,
280,話,其他,waa,話6*2,言語,方言,
281,話之佢,其他,waa zi keoi,話6之1佢5,管他呢,,
282,話是偈,其他,waa si gai,話6是6偈6*2,(某人)說的,,轉述別人的話時用
283,話唔埋,副詞,waa m1 maai,話6唔4埋4,說不定,說不準,
284,話唔定,副詞,waa m1 ding,話6唔4定6,說不定,說不準,
285,話頭唔醒尾,形容詞,waa tau m1 sing mei,話6頭4唔4醒2尾5,遲鈍,不機靈,
286,話頭醒尾,形容詞,waa tau sing mei,話6頭4醒2尾5,舉一反三,善解人意,指人聰明、領悟力強
287,話三話四,動詞,waa saam waa sei,話6三1話3四3,不講老實話,淨說不邊際的話,
288,話中,動詞,waa zung,話6中3,說對了,,
289,話乜話物,動詞,waa mat waa mat,話6乜7話6物9,推三推四,閃爍其詞,
290,畫,文化、娛樂,waa,畫9*2,(不是粵方言詞),,(不是粵方言詞)
291,畫眉,動物,waa mei,畫9眉4*2,(不是粵方言詞),,畫眉--鳥名
292,啤酒,飲食,be zau,啤1酒2,(不是粵方言詞),,啤酒--酒名。不是粵方言詞。
293,觱,其他,be,觱1,哨子,,
294,啤牌,文化、娛樂,pe paai,啤1牌4*2,撲克牌,,
295,,動詞,me,1,背負,,
296,凳仔,動詞,me dang zai,1凳3仔2,指過生日,,
297,哆,動詞,de,哆2,裂開口子,開綻,
298,嗲,動詞,de,嗲2,嬌氣,,
299,離奇,形容詞,le ke,離4奇4,古怪,難看,
300,離氣,形容詞,le he,離4氣3,匆忙而狼狽,,
301,離咁氣,形容詞,le gam he,離4*2咁3氣3,匆匆忙忙,狼狽,
302,遮,家具、日常用品,ze,遮1,傘,,
303,遮柄,工具、材料,ze beng,遮1柄3,傘桿兒的尖端,,
304,遮骨,工具、材料,ze gwat,遮1骨7,傘的骨架,傘枝,(使傘撐開的幅狀)傘枝
305,遮,動詞,ze,遮1,擋,,
306,姐姐,稱謂,ze ze,姐2*4姐2*1,(不是粵方言詞),,叫自己的姊姊。非粵方言詞。
307,姐姐噉手,形容詞,ze ze gam sau,姐2姐2噉2手2,(指)不會幹活兒,,"像小姐似的手,指不會幹活兒"
308,姐夫,稱謂,ze fu,姐2夫1,(不是粵方言詞),,姊之丈夫。非粵方言詞。
309,借頭借路,動詞,ze dau ze lou,借3頭4借3路6,藉端,藉口,
310,借尿遁,動詞,ze niu deon,借3尿6遁6,(沒有對應詞彙),,指在飯館餐後不付賬而藉故溜走
311,借水遁,動詞,ze seoi deon,借3水2遁6,乘機會溜走,,
312,蔗轆,植物、糧菜、果品,ze gu luk,蔗31轆7,(不是粵方言詞),,甘蔗去皮後切成小段
313,車呔,商業、交通,ce zai,車1呔1,車輪的內帶,,
314,車仔,商業、交通,ce zai,車1仔2,人力車,黃包車,
315,車,工具、材料,ce sin,車13,軸線,,
316,車葉,商業、交通,ce jip,車1葉9*2,螺旋槳,,
317,車轆,商業、交通,ce lok,車1轆7,車輪子,,
318,車大炮,動詞,ce daai paau,車1大6炮3,胡扯,吹牛皮,
319,車腳,動詞,ce goek,車1腳8,車錢,,坐車的費用
320,斜,形容詞,ce,斜4,不正,斜著,詞義與普通話相同
321,斜哩眼,人體,ce lei ngaan,斜4哩1眼5,(沒有對應詞彙),,舊時指天生的斜眼
322,斜襟衫,服飾,ce kam saam,斜4襟1衫1,斜領衣,,
323,扯,動詞,ce,扯2,拉扯,,
324,扯瘕,動詞,ce haa,扯2瘕1,哮喘,,
325,扯鼻鼾,動詞,ce bei hon,扯2鼻6鼾4,打鼾,打呼嚕,
326,扯皮條,動詞,ce pei tiu,扯2皮4條4,(沒有對應詞彙),,撮合不正當的男女關係
327,扯頭纜,動詞,ce tau laam,扯2頭4纜6,牽頭,帶頭,
328,扯,動詞,ce sin,扯23,介紹,搭橋,(為人)從中撮合或做聯絡
329,扯公仔,文化、娛樂,ce sin gung zai,扯23公1仔2,拉線木偶人,提木偶,
330,扯風,動詞,ce fung,扯2風1,通風,,
331,扯風箱,家具、日常用品,ce fung soeng,扯2風1箱1,拉風箱,,
332,賒數,動詞,se sou,賒1數3,(不是粵方言詞),,
333,賒得過,其他,se dak gwo,賒1得7過3,(不是粵方言詞),,
334,蛇皮袋,服飾,se pei doi,蛇4皮4袋6*2,尼龍編織袋,,俗指尼龍編織袋
335,蛇仔,稱謂,se zai,蛇4仔2,(沒有對應詞彙),,"舊時指汽車司機的助手,幫助修車或招呼乘客"
336,蛇頭鼠眼,形容詞,se tau syu ngaan,蛇4頭4鼠2眼5,獐頭鼠目,賊眉鼠眼,"形容人的相貌,象徵陰險狡猾"
